id,adresse,code_postal,commune,categorie
73,Rue Aristide Briand,95100,Argenteuil,Zone intermédiaire
74,Rue Paul Vaillant-Couturier,95190,Goussainville,Centre urbain dense
75,Avenue du Parisis,95150,Taverny,Quartier très végétalisé
76,Rue de la République,95200,Sarcelles,Centre urbain dense
77,Rue de l’Église,95240,Cormeilles-en-Parisis,Quartier très végétalisé
78,Avenue Charles de Gaulle,95130,Franconville,Zone fortement artificialisée / commerciale
79,Rue Jean Jaurès,95360,Montmagny,Zone intermédiaire
80,Rue de Paris,95120,Ermont,Zone intermédiaire
81,Rue Nationale,78955,Carrières-sous-Poissy,Zone intermédiaire
82,Avenue de la République,78300,Poissy,Centre urbain dense
83,Rue du Vieux Marché,78100,Saint-Germain-en-Laye,Centre urbain dense
84,Rue des Prés,78420,Carrières-sur-Seine,Quartier très végétalisé
85,Avenue Jean Moulin,78360,Montesson,Zone intermédiaire
86,Rue de la Gare,78240,Chambourcy,Zone fortement artificialisée / commerciale
87,Rue des Écoles,78510,Triel-sur-Seine,Quartier très végétalisé
88,Rue de Paris,78560,Le Port-Marly,Zone intermédiaire
89,Rue de la République,78990,Élancourt,Zone intermédiaire
90,Avenue Paul Vaillant-Couturier,78190,Trappes,Centre urbain dense
91,Rue de la Gare,94370,Sucy-en-Brie,Quartier très végétalisé
92,Avenue Carnot,94140,Alfortville,Zone intermédiaire
93,Rue du Général Leclerc,94000,Créteil,Zone fortement artificialisée / commerciale
94,Rue Jean Jaurès,94110,Arcueil,Centre urbain dense
95,Rue de Paris,94240,L’Haÿ-les-Roses,Zone intermédiaire
96,Rue des Acacias,94520,Mandres-les-Roses,Quartier très végétalisé
97,Avenue de la République,94400,Vitry-sur-Seine,Zone intermédiaire
98,Rue Victor Hugo,94270,Le Kremlin-Bicêtre,Centre urbain dense
99,Rue du Bac,94170,Le Perreux-sur-Marne,Quartier très végétalisé
100,Rue de Paris,94380,Bonneuil-sur-Marne,Zone intermédiaire
