id,adresse,code_postal,commune,categorie,latitude,longitude,geocoding_source
80,Rue de Paris,95120,Ermont,Zone intermédiaire,,,failed
81,"Rue Claude Monet, 78955 Carrières-sous-Poissy, France",78955,Carrières-sous-Poissy,Zone intermédiaire,48.9484674,2.0361558,manual_fix
82,Avenue de la République,78300,Poissy,Centre urbain dense,48.8631861,2.414635,nominatim_ok
83,Rue du Vieux Marché,78100,Saint-Germain-en-Laye,Centre urbain dense,47.8990346,1.903489,nominatim_ok
84,Rue des Prés,78420,Carrières-sur-Seine,Quartier très végétalisé,50.5992119,2.3986644,nominatim_ok
85,Avenue Jean Moulin,78360,Montesson,Zone intermédiaire,48.8273889,2.3257569,nominatim_ok
86,"Route de Mantes, 78240 Chambourcy, France",78240,Chambourcy,Zone fortement artificialisée / commerciale,48.9057292,2.050098,manual_fix
87,"Rue Paul Doumer, 78510 Triel-sur-Seine, France",78510,Triel-sur-Seine,Quartier très végétalisé,48.9808623,2.0033841,manual_fix
88,Rue de Paris,78560,Le Port-Marly,Zone intermédiaire,48.8254952,2.407528,nominatim_ok
89,"Avenue de la Villedieu, 78990 Élancourt, France",78990,Élancourt,Zone intermédiaire,48.7732863,1.9755548,manual_fix
90,Avenue Paul Vaillant-Couturier,78190,Trappes,Centre urbain dense,48.8162776,2.3419917,nominatim_ok
91,Rue de la Gare,94370,Sucy-en-Brie,Quartier très végétalisé,49.0228679,2.037893,nominatim_ok
92,Avenue Carnot,94140,Alfortville,Zone intermédiaire,48.8766785,2.292494,nominatim_ok
93,Rue du Général Leclerc,94000,Créteil,Zone fortement artificialisée / commerciale,48.8236354,2.417747,nominatim_ok
94,Rue Jean Jaurès,94110,Arcueil,Centre urbain dense,48.8665981,2.4157346,nominatim_ok
95,Rue de Paris,94240,L’Haÿ-les-Roses,Zone intermédiaire,48.8254952,2.407528,nominatim_ok
96,"Rue du Général Leclerc, 94520 Mandres-les-Roses, France",94520,Mandres-les-Roses,Quartier très végétalisé,48.7012069,2.5421309,manual_fix
97,Avenue de la République,94400,Vitry-sur-Seine,Zone intermédiaire,48.8631861,2.414635,nominatim_ok
98,"Avenue de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",94270,Le Kremlin-Bicêtre,Centre urbain dense,48.8157612,2.3604015,manual_fix
99,Rue du Bac,94170,Le Perreux-sur-Marne,Quartier très végétalisé,48.855187,2.3257952,nominatim_ok
100,"Avenue du Bicentenaire, 94380 Bonneuil-sur-Marne, France",94380,Bonneuil-sur-Marne,Zone intermédiaire,48.7660608,2.4894731,manual_fix
